Year,Window Start Date Time,Window End Date Time,ITIL Severity,Type of Submission,Nct Id,Change Control Assignee,Implementer,Caused Incident?,Status,Closing Code,Closing Type,Headline/Description,Outage Duration,Governanace,Day Time/MW,Organization,Group,Prime Element,Activity,Impact Summary,Request Owner,FOA?,OTL Name
2019,2019-03-19 02:00:00,2019-03-19 06:00:00,P4,Normal,NCT.1903.004528,Pam Brake,Humberto Perez,No,Closed,Completed,No Issues,"Headline: eWO # PONK1-MOP-X183560.05-001-A site: NEWKIRK -  OS Upgrade

Description: CMTS OS UPGRADE 8.2.5.0_buildbeta

No cable modem or active customers on this CMTS.",,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Small
Service Impact: None
Network Impact: None",adam.poirier,No,Humberto Perez
2019,2019-08-13 08:00:00,2019-08-13 18:00:00,P4,Lead Time Exception,NCT.1908.003941,Matthew Carty,Gagan Bahl,No,Closed,Completed,No Issues,"Headline: Remote PHY node upgrade ccsi.gz.rel8.2.5.1_build768b

Description: Remote PHY node upgrade ccsi.gz.rel8.2.5.1_build768b and non production nodes being moved from cmts94.wlfdle to cmts95.wlfdle
NOTE: All the nodes being moved have no customers on them.",,TAB/CAB,Day Time,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Small
Service Impact: None
Network Impact: None",gagan.bahl,No,Matthew Carty
2019,2019-08-15 00:00:00,2019-08-15 06:00:00,P1,Lead Time Exception,NCT.1908.004005,Pam Brake,Shafqat Khan,No,Closed,Completed,No Issues,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 on cmts76.grnsbr

Description: Update the OS of Casa from  Rel 7.2.5, Ver 2,build63a1 to Rel 8.2.5, Ver 1,build77c1

This new OS code contains a critical update to address the  P1 outage  under IMT.1906.033710 which affected all Casa CMTS that are running the current code  Rel 7.2.5, Ver 2,build63a1. 

The new OS code contain a software enhancement  to support BGP decoding and processing of BGP update packets in cases when a bad attribute length is received by BGP which could result in interrupted connectivity with BGP peers. The enhancement ensures normal handling of BGP update packets to mitigate possible connectivity issues with peer routers.

The purpose of updating  cmts76.grnsbr is to test this new OS code for stability before rolling it out to the entire network.",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Extensive
Service Impact: Outage
Network Impact: Outage",gagan.bahl,Yes,Shafqat Khan
2019,2019-08-24 00:00:00,2019-08-24 06:00:00,P2,Lead Time Exception,NCT.1908.010613,William Gamache,Shafqat Khan,No,Closed,Completed,No Issues,"Headline: X183560.06 CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1

Description: Scope of Work (NCT ? Description)
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",shaun.laverty,No,Shafqat Khan
2019,2019-09-06 02:00:00,2019-09-06 06:00:00,P2,Normal,NCT.1908.009840,William Gamache,Humberto Perez,No,Closed,Completed,No Issues,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts86.lndn

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Humberto Perez
2019,2019-09-06 02:00:00,2019-09-06 06:00:00,P2,Normal,NCT.1908.011656,William Gamache,Humberto Perez,No,Closed,Completed,No Issues,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts87.lndn

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Humberto Perez
2019,2019-09-06 02:00:00,2019-09-06 06:00:00,P2,Normal,NCT.1908.011665,William Gamache,Shafqat Khan,No,Closed,Completed,No Issues,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts88.mtnk

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Shafqat Khan
2019,2019-09-06 02:00:00,2019-09-06 06:00:00,P2,Normal,NCT.1908.011666,William Gamache,Shafqat Khan,No,Closed,Completed,No Issues,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts89.mtnk

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Shafqat Khan
2019,2019-09-10 02:00:00,2019-09-10 06:00:00,P2,Normal,NCT.1908.011847,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Stand Down - Unsafe to Proceed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts77.lndn

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-10 02:00:00,2019-09-10 06:00:00,P2,Normal,NCT.1908.011848,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Stand Down - Unsafe to Proceed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts79.lndn

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-10 02:00:00,2019-09-10 06:00:00,P2,Normal,NCT.1908.011850,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Stand Down - Unsafe to Proceed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts81.lndn

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-10 02:00:00,2019-09-10 06:00:00,P2,Normal,NCT.1908.011855,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Stand Down - Unsafe to Proceed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts78.mtnk

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-10 02:00:00,2019-09-10 06:00:00,P2,Normal,NCT.1908.011858,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Stand Down - Unsafe to Proceed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts80.nmkt

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-10 02:00:00,2019-09-10 06:00:00,P2,Normal,NCT.1908.011860,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Stand Down - Unsafe to Proceed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts81.nmkt

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-10 02:00:00,2019-09-10 06:00:00,P2,Normal,NCT.1908.011864,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Stand Down - Unsafe to Proceed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts88.cmstk

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-10 02:00:00,2019-09-10 06:00:00,P2,Normal,NCT.1908.011867,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Stand Down - Unsafe to Proceed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts89.cmstk

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-10 02:00:00,2019-09-10 06:00:00,P2,Normal,NCT.1908.011868,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Stand Down - Unsafe to Proceed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts90.cmstk

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-11 02:00:00,2019-09-11 06:00:00,P2,Normal,NCT.1908.011873,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Stand Down - Unsafe to Proceed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts78.dupt

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-11 02:00:00,2019-09-11 06:00:00,P2,Normal,NCT.1908.011877,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Stand Down - Unsafe to Proceed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts76.glph

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-11 02:00:00,2019-09-11 06:00:00,P2,Normal,NCT.1908.011882,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Stand Down - Unsafe to Proceed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts79.glph

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-11 02:00:00,2019-09-11 06:00:00,P2,Normal,NCT.1908.011888,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Stand Down - Network Instability,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts76.flfrd

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-11 02:00:00,2019-09-11 06:00:00,P2,Normal,NCT.1908.011891,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Stand Down - Unsafe to Proceed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts79.flfrd

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-11 02:00:00,2019-09-11 06:00:00,P2,Normal,NCT.1908.011893,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Stand Down - Unsafe to Proceed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts84.flfrd

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-11 02:00:00,2019-09-11 06:00:00,P2,Normal,NCT.1908.011894,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Stand Down - Unsafe to Proceed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts77.rchrd

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-11 02:00:00,2019-09-11 06:00:00,P2,Normal,NCT.1908.011898,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Stand Down - Unsafe to Proceed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts78.rchrd

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-11 02:00:00,2019-09-11 06:00:00,P2,Normal,NCT.1908.011901,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Stand Down - Unsafe to Proceed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts80.rchrd

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-12 02:00:00,2019-09-12 06:00:00,P2,Normal,NCT.1908.012128,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Stand Down - Unsafe to Proceed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts78.flfrd

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-12 02:00:00,2019-09-12 06:00:00,P2,Normal,NCT.1908.012130,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Stand Down - Unsafe to Proceed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts82.flfrd

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-12 02:00:00,2019-09-12 06:00:00,P2,Normal,NCT.1908.012131,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Stand Down - Unsafe to Proceed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts83.flfrd

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-12 02:00:00,2019-09-12 06:00:00,P2,Normal,NCT.1908.012134,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Stand Down - Unsafe to Proceed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts79.rchrd

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-12 02:00:00,2019-09-12 06:00:00,P2,Normal,NCT.1908.012135,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Stand Down - Unsafe to Proceed,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts76.rchrd

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-12 02:00:00,2019-09-12 06:00:00,P2,Normal,NCT.1908.012138,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Awaiting Authorization,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts82.rchrd

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-12 02:00:00,2019-09-12 06:00:00,P2,Normal,NCT.1908.012140,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Awaiting Authorization,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts76.popf

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-12 02:00:00,2019-09-12 06:00:00,P2,Normal,NCT.1908.012145,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Awaiting Authorization,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts76.baal

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-12 02:00:00,2019-09-12 06:00:00,P2,Normal,NCT.1908.012147,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Awaiting Authorization,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts77.mtbo

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-13 00:30:00,2019-09-13 04:30:00,P2,Normal,NCT.1908.012166,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Awaiting Authorization,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts77.nfsj

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
2019,2019-09-13 00:30:00,2019-09-13 04:30:00,P2,Normal,NCT.1908.012170,Matthew Carty,Management And Control Networks,No,Closed,Cancelled,Awaiting Authorization,"Headline: CMTS OS upgrade ccsi.gz.rel8.2.5.1_build77c1 cmts79.nfsj

Description: X183560.06
Scope of Work (NCT ? Description) - Oracle # 166908
Upgrade the OS of Casa from Rel 8.2.5.1 build768b to 8.2.5.1_build77c1
The purpose of the upgrade is:
? Fix several operations bugs on the current code
? Support new features that Enterprise Business Units requires for OLGC and AT&T product launches",60.0,TAB/CAB,MW,Network Management and Ops,Management and Control Networks,CMTS,Software Upgrade,"Customer Impact: Large
Service Impact: Outage
Network Impact: Outage",felimon.tablada,No,Matthew Carty
